,EPISODE,TITLE,AIRED ON,SUMMARY,RATING
0,E1,King Shantanu's Promise to Ganga,"Sun, Oct 2, 1988","King Bharat of Hastinapur, even after having nine sons, chooses a sage's son Bhumanyu as his successor. A few generations later, King Shantanu's reign weakens due to a promise made to his wife, Ganga.",7.2
1,E2,Ganga's Revelation about a Curse,"Sun, Oct 9, 1988","After revealing about a curse to King Shantanu, Ganga leaves with their eighth son, Devavrat. He finds two newborns and names them as Kripa and Kripi. 16 years later, Ganga returns with Devavrat.",5.8
2,E3,Bhishma Is Grown-up,"Sun, Oct 16, 1988","Devavrat is crowned as Yuvraj, heir apparent to King Shantanu. But, to enable his father's remarriage to a village girl, Devavrat vows to remain unmarried for the rest of his life and renounces his rights to the throne.",5.8
3,E4,Devavrat Becomes Bhishma,"Sun, Oct 23, 1988","Bhisma gets the Iccha Mrityu Vardaan. With all these sacrifices for Shantanu, do he gets peace.",7.1
4,E5,"Amba, Ambika and Ambalika's Introduction","Sun, Oct 30, 1988",Bhisma action for restoring the image of Hastinapur will lead to his death.,5.4
5,E6,"Birth of Pandu, Dhritarashtra and Vidur","Sun, Nov 6, 1988","Rishi Vyas is introduced and is the father of Pandu, Dhritarashtra and Vidhur. These are imparted knowledge and training by Bhisma and a new king of Hastinapur is selected.",5.7
6,E7,"Karna's Birth-story, Dhritarashtra and Gandhari Get Married and Pandu and Kunti Get Married","Sun, Nov 13, 1988","This is the divine story of Karna's birth. Lord Surya comes and blesses Kunti with a child who is named as Vasusena by the gods because his birth was royal and celebrated by Devas,Yakshas and Apsaras",6.6
7,E8,"Madri is gifted to Pandu, Pandu is resting and Sage Kindama's curse on Pandu","Sun, Nov 20, 1988","Pandu establishes the supremacy of the Kuru House. During his campaigns he takes another wife, Madri. After the campaigns, Pandu goes to the forest for relaxation with his two queens Kunti and Madri.",5.6
8,E9,Dhritarashtra is king his sanyas and Kansa is king and Akashwani about Krishna,"Sun, Nov 27, 1988","While hunting, Pandu accidentally kills a Sage. To do penance Pandu decides to spend his life in exile and entrusts Kingdom to Dhritarastra. In time five children are born to Kunti and Madri. Dhritarastra had a hundred sons from Gandhari.",5.5
9,E10,Birth of Balarama and Five Pandavas,"Sun, Dec 4, 1988","In Mathura, King Kans dethrones his father and takes over. He arranges his sister Devki's marriage with his influential friend Vasudev. But when a Sage predicts Kans' death, he imprisons Devki and Vasudev.",5.4
10,E11,Krishna Janma,"Sun, Dec 11, 1988","Kans personally kills Devki's first six children. Devki's seventh ""pregnancy"" is taken over by Vasudev's second wife, giving birth to Balram. During eighth child, Vasudev is able to smuggle out the child.",5.5
11,E12,Pootna's Death,"Sun, Dec 18, 1988","Gokul is in a festive mood to celebrate the birth of Krishna, unaware of the fact that King Kans has assigned Demon Pootna to kill all the newborns.",5.4
12,E13,Krishna brahmand darshan and Krishna gets caught while stealing makhan,"Sun, Dec 25, 1988","While Yashoda happily reared Shri Krishna in Nandgaon, his real mother Devki, and his father Vasudev spent days inside the prison in Mathura.",5.2
13,E14,Maiya Mori Mai nahi makhan khayo and Kaliya Nag Tandav,"Sun, Jan 1, 1989","Krishna enjoys his times in Nandgaon, showing his divine power time to time.",5.4
